loc_city_raw,loc_district_raw,loc_neighborhood_raw,loc_metro_raw,num__metro_present_v6
bakı,abşeron,masazır,unknown,0
bakı,yasamal,unknown,elmlər akademiyası,1
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yasamal qes,elmlər akademiyası,1
bakı,nizami,unknown,neftçilər,1
bakı,abşeron,masazır,unknown,0
bakı,nizami,unknown,neftçilər,1
bakı,nizami,unknown,qara qarayev,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,məhəmmədli,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
xırdalan,unknown,unknown,unknown,0
bakı,sabunçu,bakıxanov qes,neftçilər,1
bakı,nizami,unknown,nizami,1
bakı,nizami,unknown,xalqlar dostluğu,1
bakı,abşeron,masazır,unknown,0
bakı,nəsimi,kubinka,nizami,1
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,nizami,unknown,qara qarayev,1
bakı,xətai,əhmədli,əhmədli,1
bakı,abşeron,saray,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,xətai,əhmədli,əhmədli,1
sumqayıt,sumqayıt bulvarı,unknown,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,sabunçu,bakıxanov qes,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,sabunçu,bakıxanov qes,unknown,0
bakı,nərimanov,unknown,gənclik,1
bakı,abşeron,masazır,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,8 noyabr,1
bakı,abşeron,masazır,unknown,0
bakı,binəqədi,biləcəri qes,avtovağzal,1
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,xətai,əhmədli,həzi aslanov,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,nəsimi,unknown,28 may,1
xırdalan,unknown,unknown,unknown,0
bakı,xətai,unknown,xətai,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,unknown,28 may,1
bakı,yasamal,unknown,nizami,1
bakı,binəqədi,biləcəri qes,avtovağzal,1
bakı,xətai,h.aslanov qes,həzi aslanov,1
bakı,yasamal,unknown,i̇nşaatçılar,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,unknown,gənclik,1
bakı,yasamal,yasamal qes,elmlər akademiyası,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,yasamal,yasamal qes,20 yanvar,1
bakı,yasamal,unknown,20 yanvar,1
bakı,yasamal,unknown,20 yanvar,1
bakı,nəsimi,5-ci mikrorayon,memar əcəmi,1
bakı,yasamal,unknown,20 yanvar,1
bakı,nərimanov,unknown,unknown,0
bakı,yasamal,unknown,20 yanvar,1
bakı,yasamal,unknown,20 yanvar,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,nərimanov,unknown,28 may,1
bakı,nizami,unknown,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,nizami,unknown,nizami,1
xırdalan,unknown,unknown,unknown,0
bakı,binəqədi,9-cu mikrorayon,unknown,0
bakı,nərimanov,unknown,28 may,1
bakı,abşeron,masazır,unknown,0
bakı,nəsimi,unknown,28 may,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,nəsimi,unknown,8 noyabr,1
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,xətai,köhnə günəşli qes,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
sumqayıt,sumqayıt bulvarı,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,xətai,əhmədli,həzi aslanov,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,abşeron,masazır,unknown,0
bakı,səbail,badamdar qes,elmlər akademiyası,1
sumqayıt,st.sumqayıt,unknown,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,sabunçu,bakıxanov qes,neftçilər,1
bakı,xətai,unknown,həzi aslanov,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,suraxanı,hövsan qes,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,binəqədi,9-cu mikrorayon,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,nəsimi,unknown,28 may,1
bakı,binəqədi,7-ci mikrorayon,dərnəgül,1
bakı,binəqədi,9-cu mikrorayon,memar əcəmi,1
bakı,nizami,8-ci kilometr,neftçilər,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yeni yasamal qes,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yeni yasamal qes,unknown,0
bakı,xətai,unknown,əhmədli,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,xətai,unknown,əhmədli,1
bakı,binəqədi,7-ci mikrorayon,azadlıq,1
bakı,yasamal,yasamal qes,unknown,0
bakı,nizami,8-ci kilometr,neftçilər,1
bakı,sabunçu,bakıxanov qes,unknown,0
xırdalan,unknown,unknown,unknown,0
sumqayıt,72-ci məhəllə,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,sabunçu,bakıxanov qes,koroğlu,1
bakı,xətai,əhmədli,həzi aslanov,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,abşeron,saray,unknown,0
bakı,abşeron,saray,unknown,0
sumqayıt,sumqayıt bulvarı,unknown,unknown,0
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,binəqədi,unknown,gənclik,1
bakı,nəsimi,unknown,28 may,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,abşeron,masazır,unknown,0
bakı,xətai,köhnə günəşli qes,həzi aslanov,1
bakı,xətai,unknown,həzi aslanov,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,saray,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yeni yasamal qes,unknown,0
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,xətai,əhmədli,əhmədli,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,xətai,əhmədli,əhmədli,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,binəqədi,7-ci mikrorayon,unknown,0
bakı,sabunçu,bakıxanov qes,unknown,0
bakı,nizami,unknown,qara qarayev,1
bakı,binəqədi,7-ci mikrorayon,dərnəgül,1
bakı,abşeron,masazır,unknown,0
bakı,nizami,unknown,neftçilər,1
bakı,sabunçu,bakıxanov qes,unknown,0
bakı,binəqədi,rəsulzadə qes,unknown,0
bakı,abşeron,saray,unknown,0
bakı,nizami,unknown,qara qarayev,1
bakı,sabunçu,bakıxanov qes,unknown,0
bakı,abşeron,unknown,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,nizami,unknown,neftçilər,1
bakı,səbail,bayıl qes,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,xətai,h.aslanov qes,həzi aslanov,1
bakı,xətai,h.aslanov qes,xətai,1
bakı,binəqədi,9-cu mikrorayon,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,abşeron,masazır,unknown,0
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,nəsimi,unknown,28 may,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,xətai,əhmədli,həzi aslanov,1
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,unknown,unknown,0
bakı,nizami,unknown,neftçilər,1
bakı,abşeron,masazır,unknown,0
bakı,yasamal,yasamal qes,elmlər akademiyası,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,nizami,unknown,qara qarayev,1
bakı,nizami,8-ci kilometr,neftçilər,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,yasamal,yasamal qes,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,nizami,8-ci kilometr,qara qarayev,1
bakı,nəsimi,unknown,28 may,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,nərimanov,unknown,28 may,1
bakı,səbail,badamdar qes,elmlər akademiyası,1
sumqayıt,9-cu mikrorayon,unknown,unknown,0
bakı,binəqədi,6-cı mikrorayon,azadlıq,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,səbail,badamdar qes,elmlər akademiyası,1
bakı,xətai,unknown,həzi aslanov,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,səbail,badamdar qes,elmlər akademiyası,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,yasamal,unknown,unknown,0
bakı,xətai,unknown,xətai,1
bakı,binəqədi,unknown,azadlıq,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,unknown,unknown,0
bakı,nərimanov,unknown,28 may,1
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,səbail,badamdar qes,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,suraxanı,yeni günəşli qes,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,nərimanov,unknown,28 may,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,nərimanov,unknown,gənclik,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,xətai,ağ şəhər,xətai,1
bakı,nizami,unknown,neftçilər,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,yasamal,yeni yasamal qes,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,20 yanvar,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,xətai,unknown,xətai,1
bakı,xətai,əhmədli,həzi aslanov,1
bakı,xətai,unknown,əhmədli,1
bakı,yasamal,unknown,20 yanvar,1
bakı,abşeron,masazır,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,xətai,unknown,unknown,0
bakı,suraxanı,hövsan qes,unknown,0
bakı,abşeron,masazır,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,nizami,unknown,qara qarayev,1
bakı,xətai,əhmədli,i̇nşaatçılar,1
bakı,nərimanov,unknown,koroğlu,1
bakı,xətai,unknown,həzi aslanov,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,xətai,əhmədli,əhmədli,1
bakı,xətai,əhmədli,əhmədli,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,binəqədi,8-ci mikrorayon,unknown,0
bakı,xətai,köhnə günəşli qes,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
xırdalan,unknown,unknown,unknown,0
bakı,binəqədi,9-cu mikrorayon,avtovağzal,1
bakı,abşeron,masazır,unknown,0
bakı,nizami,unknown,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,nərimanov,unknown,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,nizami,unknown,qara qarayev,1
bakı,xətai,köhnə günəşli qes,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,nizami,unknown,qara qarayev,1
bakı,abşeron,masazır,unknown,0
bakı,xətai,köhnə günəşli qes,unknown,0
bakı,suraxanı,zığ qes,unknown,0
bakı,xətai,unknown,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,nizami,unknown,neftçilər,1
bakı,nərimanov,unknown,nəriman nərimanov,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,xətai,unknown,unknown,0
sumqayıt,1-ci məhəllə,unknown,unknown,0
sumqayıt,st.sumqayıt,unknown,unknown,0
bakı,xəzər,unknown,unknown,0
bakı,xətai,əhmədli,unknown,0
bakı,xətai,unknown,unknown,0
bakı,yasamal,unknown,20 yanvar,1
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,nərimanov,unknown,koroğlu,1
bakı,binəqədi,7-ci mikrorayon,dərnəgül,1
bakı,nizami,unknown,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,nizami,unknown,unknown,0
bakı,yasamal,unknown,unknown,0
bakı,xətai,h.aslanov qes,həzi aslanov,1
bakı,xətai,h.aslanov qes,həzi aslanov,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,xətai,əhmədli,əhmədli,1
bakı,unknown,unknown,memar əcəmi,1
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,unknown,gənclik,1
bakı,xətai,unknown,həzi aslanov,1
bakı,abşeron,masazır,unknown,0
bakı,yasamal,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,binəqədi,7-ci mikrorayon,unknown,0
bakı,nərimanov,unknown,28 may,1
bakı,nərimanov,unknown,koroğlu,1
bakı,xətai,unknown,həzi aslanov,1
bakı,xətai,unknown,həzi aslanov,1
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,xətai,əhmədli,əhmədli,1
bakı,nizami,unknown,neftçilər,1
bakı,suraxanı,hövsan qes,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,yasamal,unknown,nizami,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,səbail,badamdar qes,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,suraxanı,yeni günəşli qes,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,nizami,unknown,neftçilər,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,xətai,əhmədli,əhmədli,1
bakı,nərimanov,unknown,28 may,1
bakı,binəqədi,7-ci mikrorayon,dərnəgül,1
bakı,xətai,əhmədli,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,nizami,8-ci kilometr,qara qarayev,1
bakı,nərimanov,unknown,nəriman nərimanov,1
xırdalan,unknown,unknown,unknown,0
bakı,xətai,unknown,əhmədli,1
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yasamal qes,20 yanvar,1
bakı,binəqədi,unknown,nəsimi,1
bakı,abşeron,saray,unknown,0
bakı,xətai,h.aslanov qes,həzi aslanov,1
bakı,abşeron,saray,unknown,0
sumqayıt,unknown,unknown,unknown,0
bakı,xətai,əhmədli,həzi aslanov,1
bakı,səbail,badamdar qes,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,suraxanı,zığ qes,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yasamal qes,elmlər akademiyası,1
bakı,abşeron,unknown,unknown,0
sumqayıt,sumqayıt bulvarı,unknown,unknown,0
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,binəqədi,6-cı mikrorayon,nəsimi,1
bakı,abşeron,masazır,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,yasamal,yasamal qes,elmlər akademiyası,1
bakı,xətai,unknown,unknown,0
bakı,nizami,8-ci kilometr,xalqlar dostluğu,1
bakı,xətai,ağ şəhər,xətai,1
bakı,suraxanı,qaraçuxur qes,unknown,0
bakı,yasamal,yasamal qes,elmlər akademiyası,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,nizami,unknown,qara qarayev,1
bakı,nəsimi,unknown,memar əcəmi,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,nəsimi,unknown,memar əcəmi,1
bakı,nəsimi,unknown,memar əcəmi,1
bakı,xətai,əhmədli,həzi aslanov,1
bakı,nəsimi,unknown,azadlıq,1
bakı,nərimanov,unknown,28 may,1
bakı,nəsimi,unknown,8 noyabr,1
bakı,binəqədi,unknown,memar əcəmi,1
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,xətai,köhnə günəşli qes,həzi aslanov,1
bakı,xətai,unknown,əhmədli,1
bakı,sabunçu,nardaran qes,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,xətai,h.aslanov qes,həzi aslanov,1
bakı,sabunçu,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,nəsimi,unknown,memar əcəmi,1
bakı,nərimanov,unknown,gənclik,1
bakı,xətai,unknown,əhmədli,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,nizami,unknown,neftçilər,1
bakı,nəsimi,unknown,28 may,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,nəsimi,unknown,28 may,1
bakı,binəqədi,7-ci mikrorayon,dərnəgül,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,binəqədi,binəqədi qes,azadlıq,1
bakı,binəqədi,8-ci mikrorayon,azadlıq,1
bakı,binəqədi,8-ci mikrorayon,azadlıq,1
bakı,binəqədi,8-ci mikrorayon,unknown,0
bakı,binəqədi,7-ci mikrorayon,dərnəgül,1
bakı,yasamal,unknown,unknown,0
bakı,binəqədi,8-ci mikrorayon,azadlıq,1
bakı,binəqədi,7-ci mikrorayon,dərnəgül,1
xırdalan,unknown,unknown,unknown,0
bakı,binəqədi,9-cu mikrorayon,nəsimi,1
bakı,binəqədi,8-ci mikrorayon,azadlıq,1
bakı,binəqədi,8-ci mikrorayon,dərnəgül,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,yasamal,yasamal qes,unknown,0
bakı,yasamal,yasamal qes,unknown,0
bakı,yasamal,yasamal qes,unknown,0
bakı,yasamal,yasamal qes,unknown,0
bakı,yasamal,yasamal qes,unknown,0
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,yasamal,unknown,unknown,0
bakı,nizami,unknown,qara qarayev,1
bakı,yasamal,yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,unknown,0
bakı,yasamal,yasamal qes,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,səbail,badamdar qes,elmlər akademiyası,1
bakı,yasamal,yasamal qes,elmlər akademiyası,1
bakı,yasamal,yasamal qes,elmlər akademiyası,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,abşeron,masazır,unknown,0
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,nizami,unknown,qara qarayev,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
sumqayıt,36-ci məhəllə,unknown,unknown,0
sumqayıt,2-ci mikrorayon,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,abşeron,masazır,avtovağzal,1
bakı,binəqədi,biləcəri qes,avtovağzal,1
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,unknown,gənclik,1
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,unknown,ulduz,1
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
xırdalan,unknown,unknown,unknown,0
bakı,nərimanov,montin qes,nəriman nərimanov,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,nizami,unknown,qara qarayev,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,nərimanov,unknown,28 may,1
bakı,xətai,köhnə günəşli qes,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,abşeron,masazır,unknown,0
bakı,yasamal,yasamal qes,elmlər akademiyası,1
bakı,sabunçu,bakıxanov qes,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,yasamal,yeni yasamal qes,unknown,0
bakı,nəsimi,unknown,8 noyabr,1
bakı,abşeron,masazır,unknown,0
bakı,xətai,unknown,əhmədli,1
bakı,nərimanov,unknown,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,suraxanı,unknown,unknown,0
bakı,xətai,unknown,əhmədli,1
bakı,binəqədi,unknown,azadlıq,1
sumqayıt,st.sumqayıt,unknown,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,abşeron,unknown,unknown,0
bakı,nərimanov,unknown,unknown,0
bakı,abşeron,unknown,unknown,0
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,nəsimi,unknown,elmlər akademiyası,1
bakı,nizami,unknown,qara qarayev,1
bakı,nizami,unknown,xalqlar dostluğu,1
bakı,abşeron,masazır,unknown,0
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,yasamal,yeni yasamal qes,i̇nşaatçılar,1
bakı,abşeron,saray,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,yasamal,unknown,20 yanvar,1
bakı,abşeron,masazır,unknown,0
bakı,binəqədi,7-ci mikrorayon,dərnəgül,1
bakı,abşeron,masazır,unknown,0
bakı,suraxanı,hövsan qes,unknown,0
bakı,suraxanı,unknown,unknown,0
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,xətai,əhmədli,həzi aslanov,1
bakı,yasamal,unknown,20 yanvar,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,suraxanı,hövsan qes,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,xətai,unknown,həzi aslanov,1
bakı,suraxanı,yeni günəşli qes,unknown,0
bakı,abşeron,masazır,unknown,0
bakı,xətai,h.aslanov qes,həzi aslanov,1
bakı,xətai,unknown,həzi aslanov,1
sumqayıt,sumqayıt bulvarı,unknown,unknown,0
bakı,nizami,unknown,qara qarayev,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,nərimanov,unknown,gənclik,1
bakı,nərimanov,unknown,bakmil,1
bakı,yasamal,yasamal qes,elmlər akademiyası,1
bakı,binəqədi,biləcəri qes,avtovağzal,1
bakı,sabunçu,bakıxanov qes,neftçilər,1
bakı,abşeron,masazır,unknown,0
bakı,nizami,unknown,qara qarayev,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,nizami,8-ci kilometr,qara qarayev,1
bakı,nərimanov,unknown,nəriman nərimanov,1
bakı,xətai,əhmədli,əhmədli,1
bakı,abşeron,masazır,unknown,0
xırdalan,unknown,unknown,unknown,0
sumqayıt,unknown,unknown,unknown,0
bakı,nərimanov,unknown,8 noyabr,1
bakı,yasamal,unknown,elmlər akademiyası,1
bakı,yasamal,unknown,i̇nşaatçılar,1
bakı,yasamal,yasamal qes,elmlər akademiyası,1
xırdalan,unknown,unknown,unknown,0
xırdalan,unknown,unknown,unknown,0
bakı,yasamal,yasamal qes,elmlər akademiyası,1
